id_review,nama_produk,nama_pelanggan,email_pelanggan,bintang,ulasan,tanggal_review
1,Adjustable Race,Rika Purnama,rika.p@hotmail.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-04-24
2,Adjustable Race,Eka Saputra,eka.s@gmail.com,3,Material oke tapi proses pemasangan agak tricky.,2024-01-17
3,Adjustable Race,Siti Nurhaliza,siti.n@yahoo.com,5,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-11-04
4,Adjustable Race,Siti Nurhaliza,siti.n@outlook.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-08-17
5,Adjustable Race,Laila Fitriani,laila.f@gmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-03-22
6,Adjustable Race,Zaki Mubarak,zaki.m@hotmail.com,4,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-04-20
7,Adjustable Race,Hendra Kurnia,hendra.k@gmail.com,5,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-02-19
8,Adjustable Race,Hafiz Ramadhan,hafiz.r@hotmail.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-08-23
9,Adjustable Race,Elsa Purnama,elsa.p@outlook.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-10-09
10,Adjustable Race,Zahra Amini,zahra.a@hotmail.com,3,"Kualitas standar, cocok untuk penggunaan sehari-hari biasa.",2024-12-26
11,Bearing Ball,Hendra Wijaya,hendra.w@yahoo.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-05-28
12,Bearing Ball,Rizki Hamdani,rizki.h@gmail.com,2,Barang tidak sesuai spesifikasi yang tertera. Kecewa!,2024-05-22
13,Bearing Ball,Umi Kalsum,umi.k@hotmail.com,4,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-07-08
14,Bearing Ball,Hafiz Ramadhan,hafiz.r@hotmail.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-12-15
